[13:08:59.068] [INFO   ] thread main starting.
[13:08:59.077] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:08:59.081] [SEVERE ] configuration file was loaded from resources directory.
[13:08:59.753] [INFO   ] thread dealer starting.
[13:08:59.845] [SEVERE ] placing card 18 in slot 0
[13:08:59.846] [SEVERE ] placing card 46 in slot 1
[13:08:59.846] [SEVERE ] placing card 33 in slot 2
[13:08:59.846] [SEVERE ] placing card 80 in slot 3
[13:08:59.846] [SEVERE ] placing card 62 in slot 4
[13:08:59.847] [SEVERE ] placing card 70 in slot 5
[13:08:59.847] [SEVERE ] placing card 41 in slot 6
[13:08:59.847] [SEVERE ] placing card 21 in slot 7
[13:08:59.847] [SEVERE ] placing card 45 in slot 8
[13:08:59.847] [SEVERE ] placing card 5 in slot 9
[13:08:59.848] [SEVERE ] placing card 12 in slot 10
[13:08:59.848] [SEVERE ] placing card 13 in slot 11
[13:08:59.861] [SEVERE ] player 3 placing token on slot 10
[13:08:59.861] [SEVERE ] player 4 placing token on slot 11
[13:08:59.861] [SEVERE ] player 1 placing token on slot 2
[13:08:59.861] [SEVERE ] player 2 placing token on slot 1
[13:08:59.862] [SEVERE ] player 3 placing token on slot 3
[13:08:59.862] [SEVERE ] removing player 2 token from slot 1
[13:08:59.862] [SEVERE ] player 1 placing token on slot 5
[13:08:59.862] [SEVERE ] player 4 placing token on slot 3
[13:08:59.862] [SEVERE ] player 1 placing token on slot 9
[13:08:59.862] [SEVERE ] player 2 placing token on slot 2
[13:08:59.862] [SEVERE ] player 3 placing token on slot 0
[13:08:59.863] [SEVERE ] player 2 placing token on slot 8
[13:08:59.863] [SEVERE ] player 4 placing token on slot 7
[13:08:59.863] [SEVERE ] removing player 1 token from slot 2
[13:08:59.863] [SEVERE ] removing player 1 token from slot 5
[13:08:59.863] [SEVERE ] removing player 1 token from slot 9
[13:08:59.864] [SEVERE ] removing player 3 token from slot 0
[13:08:59.864] [SEVERE ] removing player 3 token from slot 3
[13:08:59.864] [SEVERE ] removing player 3 token from slot 10
[13:08:59.864] [SEVERE ] player 2 placing token on slot 0
[13:08:59.864] [SEVERE ] player 1 placing token on slot 2
[13:08:59.865] [SEVERE ] removing player 4 token from slot 3
[13:08:59.865] [SEVERE ] removing player 4 token from slot 7
[13:08:59.865] [SEVERE ] removing player 4 token from slot 11
[13:08:59.865] [SEVERE ] player 3 placing token on slot 2
[13:08:59.865] [SEVERE ] player 1 placing token on slot 5
[13:08:59.866] [SEVERE ] removing player 2 token from slot 0
[13:08:59.866] [SEVERE ] removing player 2 token from slot 2
[13:08:59.867] [SEVERE ] removing player 2 token from slot 8
[13:08:59.867] [SEVERE ] player 4 placing token on slot 5
[13:08:59.867] [SEVERE ] player 1 placing token on slot 1
[13:08:59.867] [SEVERE ] player 2 placing token on slot 10
[13:08:59.867] [SEVERE ] player 3 placing token on slot 3
[13:08:59.867] [SEVERE ] player 4 placing token on slot 9
[13:08:59.873] [SEVERE ] removing player 1 token from slot 1
[13:08:59.873] [SEVERE ] removing player 1 token from slot 2
[13:08:59.873] [SEVERE ] removing player 1 token from slot 5
[13:08:59.873] [SEVERE ] player 2 placing token on slot 7
[13:08:59.873] [SEVERE ] player 4 placing token on slot 1
