[10:54:49.224] [INFO   ] thread main starting.
[10:54:49.232] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:54:49.234] [SEVERE ] configuration file was loaded from resources directory.
[10:54:49.806] [INFO   ] thread dealer starting.
[10:54:49.993] [SEVERE ] placing card 45 in slot 0
[10:54:50.100] [SEVERE ] placing card 54 in slot 1
[10:54:50.208] [SEVERE ] placing card 33 in slot 2
[10:54:50.316] [SEVERE ] placing card 61 in slot 3
[10:54:50.423] [SEVERE ] placing card 68 in slot 4
[10:54:50.545] [SEVERE ] placing card 22 in slot 5
[10:54:50.653] [SEVERE ] placing card 35 in slot 6
[10:54:50.759] [SEVERE ] placing card 14 in slot 7
[10:54:50.867] [SEVERE ] placing card 56 in slot 8
[10:54:50.975] [SEVERE ] placing card 21 in slot 9
[10:54:51.083] [SEVERE ] placing card 65 in slot 10
[10:54:51.191] [SEVERE ] placing card 0 in slot 11
[10:54:51.200] [SEVERE ] player 1 placing token on slot 1
[10:54:51.200] [SEVERE ] player 3 placing token on slot 11
[10:54:51.200] [SEVERE ] player 2 placing token on slot 9
[10:54:51.200] [SEVERE ] player 4 placing token on slot 4
[10:54:51.200] [SEVERE ] player 2 placing token on slot 4
[10:54:51.200] [SEVERE ] player 1 placing token on slot 6
[10:54:51.201] [SEVERE ] player 2 placing token on slot 1
[10:54:51.201] [SEVERE ] player 4 placing token on slot 3
[10:54:51.201] [SEVERE ] player 3 placing token on slot 1
[10:54:51.201] [SEVERE ] removing player 1 token from slot 1
[10:54:51.202] [SEVERE ] removing player 2 token from slot 1
[10:54:51.202] [SEVERE ] removing player 2 token from slot 4
[10:54:51.202] [SEVERE ] removing player 2 token from slot 9
[10:54:51.202] [SEVERE ] removing player 4 token from slot 4
[10:54:51.203] [SEVERE ] player 3 placing token on slot 4
[10:54:51.202] [SEVERE ] player 2 placing token on slot 8
[10:54:51.203] [SEVERE ] player 4 placing token on slot 1
[10:54:51.203] [SEVERE ] player 1 placing token on slot 8
[10:54:51.205] [SEVERE ] removing player 3 token from slot 1
[10:54:51.205] [SEVERE ] removing player 3 token from slot 4
[10:54:51.205] [SEVERE ] removing player 3 token from slot 11
[10:54:51.206] [SEVERE ] player 2 placing token on slot 2
[10:54:51.206] [SEVERE ] player 1 placing token on slot 3
[10:54:51.206] [SEVERE ] player 3 placing token on slot 9
[10:54:51.206] [SEVERE ] player 4 placing token on slot 6
[10:54:51.206] [SEVERE ] player 2 placing token on slot 9
[10:54:51.207] [SEVERE ] removing player 1 token from slot 3
[10:54:51.207] [SEVERE ] removing player 1 token from slot 6
[10:54:51.207] [SEVERE ] removing player 1 token from slot 8
[10:54:51.207] [SEVERE ] player 3 placing token on slot 11
[10:54:51.208] [SEVERE ] removing player 4 token from slot 1
[10:54:51.208] [SEVERE ] removing player 4 token from slot 3
[10:54:51.208] [SEVERE ] removing player 4 token from slot 6
[10:54:51.208] [SEVERE ] player 1 placing token on slot 3
[10:54:51.208] [SEVERE ] player 3 placing token on slot 1
[10:54:51.208] [SEVERE ] player 4 placing token on slot 6
[10:54:51.209] [SEVERE ] removing player 2 token from slot 2
[10:54:51.209] [SEVERE ] removing player 2 token from slot 8
[10:54:51.209] [SEVERE ] removing player 2 token from slot 9
[10:54:51.209] [SEVERE ] player 1 placing token on slot 5
[10:54:51.209] [SEVERE ] player 4 placing token on slot 5
[10:54:51.210] [SEVERE ] removing player 3 token from slot 1
[10:54:51.210] [SEVERE ] removing player 3 token from slot 9
[10:54:51.210] [SEVERE ] removing player 3 token from slot 11
[10:54:51.210] [SEVERE ] player 2 placing token on slot 6
[10:54:51.210] [SEVERE ] player 4 placing token on slot 0
[10:54:51.210] [SEVERE ] player 3 placing token on slot 5
[10:54:51.210] [SEVERE ] removing player 1 token from slot 5
[10:54:51.210] [SEVERE ] player 2 placing token on slot 7
[10:54:51.211] [SEVERE ] removing player 4 token from slot 0
[10:54:51.211] [SEVERE ] removing player 4 token from slot 5
[10:54:51.212] [SEVERE ] removing player 4 token from slot 6
[10:54:51.212] [SEVERE ] player 3 placing token on slot 2
[10:54:51.212] [SEVERE ] player 4 placing token on slot 6
[10:54:51.212] [SEVERE ] player 2 placing token on slot 2
[10:54:51.212] [SEVERE ] player 1 placing token on slot 0
[10:54:51.212] [SEVERE ] player 4 placing token on slot 8
[10:54:51.212] [SEVERE ] player 3 placing token on slot 0
[10:54:51.213] [SEVERE ] removing player 2 token from slot 2
[10:54:51.214] [SEVERE ] removing player 2 token from slot 6
[10:54:51.214] [SEVERE ] removing player 2 token from slot 7
[10:54:51.214] [SEVERE ] player 1 placing token on slot 10
[10:54:51.214] [SEVERE ] removing player 4 token from slot 6
[10:54:51.215] [SEVERE ] removing player 3 token from slot 0
[10:54:51.215] [SEVERE ] removing player 3 token from slot 2
[10:54:51.215] [SEVERE ] removing player 3 token from slot 5
[10:54:51.216] [SEVERE ] player 2 placing token on slot 10
[10:54:51.216] [SEVERE ] player 4 placing token on slot 4
[10:54:51.216] [SEVERE ] removing player 1 token from slot 0
[10:54:51.216] [SEVERE ] removing player 1 token from slot 3
[10:54:51.217] [SEVERE ] removing player 1 token from slot 10
[10:54:51.217] [SEVERE ] player 1 placing token on slot 9
[10:54:51.217] [SEVERE ] removing player 4 token from slot 8
[10:54:51.217] [SEVERE ] player 4 placing token on slot 7
[10:54:51.217] [SEVERE ] player 3 placing token on slot 7
[10:54:51.217] [SEVERE ] player 2 placing token on slot 0
[10:54:51.218] [SEVERE ] player 3 placing token on slot 9
[10:54:51.218] [SEVERE ] player 4 placing token on slot 2
[10:54:51.217] [SEVERE ] player 1 placing token on slot 0
[10:54:51.219] [SEVERE ] removing player 3 token from slot 7
[10:54:51.218] [SEVERE ] player 2 placing token on slot 6
[10:54:51.220] [SEVERE ] removing player 4 token from slot 2
[10:54:51.220] [SEVERE ] removing player 4 token from slot 4
[10:54:51.220] [SEVERE ] removing player 4 token from slot 7
[10:54:51.220] [SEVERE ] player 1 placing token on slot 6
[10:54:51.220] [SEVERE ] player 3 placing token on slot 5
[10:54:51.221] [SEVERE ] removing player 2 token from slot 0
[10:54:51.221] [SEVERE ] removing player 2 token from slot 6
[10:54:51.221] [SEVERE ] removing player 2 token from slot 10
[10:54:51.221] [SEVERE ] player 4 placing token on slot 1
[10:54:51.221] [SEVERE ] player 3 placing token on slot 3
[10:54:51.222] [SEVERE ] removing player 1 token from slot 0
[10:54:51.222] [SEVERE ] removing player 1 token from slot 6
[10:54:51.222] [SEVERE ] removing player 1 token from slot 9
[10:54:51.223] [SEVERE ] player 2 placing token on slot 7
[10:54:51.223] [SEVERE ] player 4 placing token on slot 0
[10:54:51.223] [SEVERE ] player 1 placing token on slot 6
[10:54:51.224] [SEVERE ] removing player 3 token from slot 3
[10:54:51.224] [SEVERE ] removing player 3 token from slot 5
[10:54:51.224] [SEVERE ] removing player 3 token from slot 9
[10:54:51.224] [SEVERE ] player 2 placing token on slot 8
[10:54:51.224] [SEVERE ] player 1 placing token on slot 0
[10:54:51.224] [SEVERE ] player 4 placing token on slot 8
[10:54:51.224] [SEVERE ] player 3 placing token on slot 8
[10:54:51.225] [SEVERE ] player 1 placing token on slot 8
[10:54:51.224] [SEVERE ] player 2 placing token on slot 4
[10:54:51.225] [SEVERE ] removing player 4 token from slot 0
[10:54:51.226] [SEVERE ] removing player 4 token from slot 1
[10:54:51.226] [SEVERE ] removing player 4 token from slot 8
[10:54:51.226] [SEVERE ] player 3 placing token on slot 2
[10:54:51.227] [SEVERE ] removing player 1 token from slot 0
[10:54:51.227] [SEVERE ] removing player 1 token from slot 6
[10:54:51.227] [SEVERE ] removing player 1 token from slot 8
[10:54:51.228] [SEVERE ] player 4 placing token on slot 8
[10:54:51.228] [SEVERE ] player 3 placing token on slot 5
[10:54:51.228] [SEVERE ] removing player 2 token from slot 4
[10:54:51.228] [SEVERE ] removing player 2 token from slot 7
[10:54:51.229] [SEVERE ] removing player 2 token from slot 8
[10:54:51.229] [SEVERE ] player 1 placing token on slot 0
[10:54:51.229] [SEVERE ] player 4 placing token on slot 4
[10:54:51.229] [SEVERE ] removing player 3 token from slot 2
[10:54:51.229] [SEVERE ] removing player 3 token from slot 5
[10:54:51.230] [SEVERE ] removing player 3 token from slot 8
[10:54:51.230] [SEVERE ] player 2 placing token on slot 0
[10:54:51.230] [SEVERE ] player 4 placing token on slot 9
[10:54:51.230] [SEVERE ] player 3 placing token on slot 8
[10:54:51.230] [SEVERE ] removing player 1 token from slot 0
[10:54:51.230] [SEVERE ] player 2 placing token on slot 4
[10:54:51.231] [SEVERE ] removing player 4 token from slot 4
[10:54:51.231] [SEVERE ] removing player 4 token from slot 8
[10:54:51.231] [SEVERE ] removing player 4 token from slot 9
[10:54:51.232] [SEVERE ] player 3 placing token on slot 4
[10:54:51.232] [SEVERE ] player 2 placing token on slot 6
[10:54:51.232] [SEVERE ] player 1 placing token on slot 3
[10:54:51.232] [SEVERE ] player 3 placing token on slot 5
[10:54:51.232] [SEVERE ] player 4 placing token on slot 6
[10:54:51.233] [SEVERE ] removing player 2 token from slot 0
[10:54:51.233] [SEVERE ] removing player 2 token from slot 4
[10:54:51.233] [SEVERE ] removing player 2 token from slot 6
[10:54:51.234] [SEVERE ] removing player 3 token from slot 4
[10:54:51.234] [SEVERE ] removing player 3 token from slot 5
[10:54:51.234] [SEVERE ] removing player 3 token from slot 8
[10:54:51.234] [SEVERE ] player 3 placing token on slot 8
[10:54:51.234] [SEVERE ] player 2 placing token on slot 10
[10:54:51.234] [SEVERE ] removing player 4 token from slot 6
[10:54:51.234] [SEVERE ] player 1 placing token on slot 0
[10:54:51.235] [SEVERE ] player 4 placing token on slot 1
[10:54:51.234] [SEVERE ] player 2 placing token on slot 2
[10:54:51.234] [SEVERE ] player 3 placing token on slot 0
[10:54:51.235] [SEVERE ] player 2 placing token on slot 11
[10:54:51.235] [SEVERE ] player 4 placing token on slot 2
[10:54:51.235] [SEVERE ] player 1 placing token on slot 4
[10:54:51.235] [SEVERE ] removing player 3 token from slot 8
[10:54:51.236] [SEVERE ] removing player 2 token from slot 2
[10:54:51.236] [SEVERE ] removing player 2 token from slot 10
[10:54:51.236] [SEVERE ] removing player 2 token from slot 11
[10:54:51.237] [SEVERE ] removing player 1 token from slot 0
[10:54:51.237] [SEVERE ] removing player 1 token from slot 3
[10:54:51.237] [SEVERE ] removing player 1 token from slot 4
[10:54:51.237] [SEVERE ] player 1 placing token on slot 4
[10:54:51.237] [SEVERE ] player 2 placing token on slot 4
[10:54:51.237] [SEVERE ] player 3 placing token on slot 7
[10:54:51.237] [SEVERE ] player 4 placing token on slot 10
[10:54:51.238] [SEVERE ] player 3 placing token on slot 10
[10:54:51.237] [SEVERE ] player 2 placing token on slot 8
[10:54:51.237] [SEVERE ] removing player 1 token from slot 4
[10:54:51.238] [SEVERE ] removing player 4 token from slot 1
[10:54:51.238] [SEVERE ] removing player 4 token from slot 2
[10:54:51.239] [SEVERE ] removing player 4 token from slot 10
[10:54:51.239] [SEVERE ] removing player 3 token from slot 0
[10:54:51.239] [SEVERE ] removing player 3 token from slot 7
[10:54:51.239] [SEVERE ] removing player 3 token from slot 10
[10:54:51.239] [SEVERE ] player 2 placing token on slot 11
[10:54:51.239] [SEVERE ] player 1 placing token on slot 1
[10:54:51.239] [SEVERE ] player 4 placing token on slot 10
[10:54:51.239] [SEVERE ] player 3 placing token on slot 4
[10:54:51.240] [SEVERE ] removing player 2 token from slot 4
[10:54:51.240] [SEVERE ] removing player 2 token from slot 8
[10:54:51.240] [SEVERE ] removing player 2 token from slot 11
[10:54:51.240] [SEVERE ] player 1 placing token on slot 8
[10:54:51.240] [SEVERE ] removing player 3 token from slot 4
[10:54:51.240] [SEVERE ] player 2 placing token on slot 2
[10:54:51.240] [SEVERE ] player 4 placing token on slot 7
[10:54:51.241] [SEVERE ] player 2 placing token on slot 6
[10:54:51.241] [SEVERE ] player 3 placing token on slot 9
[10:54:51.241] [SEVERE ] player 1 placing token on slot 9
[10:54:51.242] [SEVERE ] player 3 placing token on slot 8
[10:54:51.241] [SEVERE ] player 2 placing token on slot 5
[10:54:51.241] [SEVERE ] player 4 placing token on slot 4
[10:54:51.242] [SEVERE ] removing player 1 token from slot 1
[10:54:51.242] [SEVERE ] removing player 1 token from slot 8
[10:54:51.243] [SEVERE ] removing player 1 token from slot 9
[10:54:51.243] [SEVERE ] player 3 placing token on slot 10
[10:54:51.243] [SEVERE ] removing player 2 token from slot 2
